,Player_Name,Country,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
7484,Ameer Saiyed,BOT,26,0,20,3,1,130,1,Kenya,Nairobi (Gym),15 Jun 2023
7485,K Motlhanka,BOT,26,0,28,2,1,92.85,1,Kenya,Nairobi (Gym),15 Jun 2023
7486,R Nehonde,BOT,26,0,22,1,1,118.18,1,Kenya,Nairobi (Gym),19 Jun 2023
7487,MV Pavlovic,SRB,26,0,28,4,0,92.85,2,Bulgaria,Sofia,23 Jun 2023
7488,B Fitchet,GUE,26,0,15,5,0,173.33,1,Jersey,St Martin,7 Jul 2023
7489,Zeeshan Khan,MLT,26,0,16,6,0,162.5,1,France,Marsa,10 Jul 2023
7490,G Thakur,MLT,26,0,11,3,1,236.36,2,France,Marsa,16 Jul 2023
7491,A Balbirnie,IRE,26,0,24,4,0,108.33,1,Italy,Edinburgh (Golden),20 Jul 2023
7492,GP Meade,ITA,26,0,23,2,0,113.04,2,Ireland,Edinburgh (Golden),20 Jul 2023
7493,GK Berg,ITA,26,0,17,3,0,152.94,2,Ireland,Edinburgh (Golden),20 Jul 2023
7494,AM Tribe,JER,26,0,28,2,1,92.85,1,Ireland,Edinburgh (Golden),24 Jul 2023
7495,DC Smith,PHI,26,0,28,2,0,92.85,2,Vanuatu,Port Moresby,25 Jul 2023
7496,L Siaka,PNG,26,0,16,3,0,162.5,1,Philippines,Port Moresby,28 Jul 2023
7497,GR Russ,PHI,26,0,28,3,0,92.85,1,Vanuatu,Port Moresby,29 Jul 2023
7498,Rohit Kumar,ROM,26,0,18,5,0,144.44,2,Malta,Ilfov County,20 Aug 2023
7499,Waqas Ahmad,MLT,26,0,13,3,1,200,2,Romania,Ilfov County,20 Aug 2023
7500,C Rubagumya,RWN,26,0,29,1,0,89.65,2,Tanzania,Rwanda,27 Aug 2023
7501,MM Ali,ENG,26,0,16,1,2,162.5,2,New Zealand,Birmingham,3 Sep 2023
7502,DJ Malan,ENG,26,0,21,4,0,123.8,1,New Zealand,Nottingham,5 Sep 2023
7503,LS Livingstone,ENG,26,0,20,0,2,130,1,New Zealand,Nottingham,5 Sep 2023
7504,Imran Anwar,BHR,26,0,22,0,2,118.18,1,U.A.E.,Doha,22 Sep 2023
7505,P Heron,CAY,26,0,29,2,1,89.65,2,Canada,Sandys Parish,1 Oct 2023
7506,KTK Rodrigo,MDV,26,0,41,2,0,63.41,1,Saudi Arabia,Doha,2 Oct 2023
7507,D Ajekun,NGA,26,0,39,1,0,66.66,2,Rwanda,Lagos,7 Oct 2023
7508,R Bakum,GHA,26,0,25,2,1,104,2,Sierra Leone,Lagos,7 Oct 2023
7509,AA Onikoyi,NGA,26,0,26,0,1,100,1,Sierra Leone,Lagos,12 Oct 2023
7510,L Lamin,SLE,26,0,29,2,1,89.65,2,Ghana,Lagos,14 Oct 2023
7511,V Aravind,UAE,26,0,25,3,0,104,2,Nepal,Kirtipur,27 Oct 2023
7512,Zeeshan Maqsood,OMA,26,0,17,3,1,152.94,1,Singapore,Kirtipur,31 Oct 2023
7513,AE Paraam,SGP,26,0,23,4,0,113.04,2,Oman,Kirtipur,31 Oct 2023
7514,K Bhurtel,NEP,26,0,18,1,3,144.44,2,Oman,Kirtipur,2 Nov 2023
7515,Aizaz Khan,HKG,26,0,17,4,0,152.94,2,U.A.E.,Mulpani,2 Nov 2023
